0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1.025,2,2,2,2,2,2,2,2,2,1.4875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1




1,1,1,1,1,1,1,1,1,1,1.00084,1.00632,1.02243,1.05225,1.09332,1.14093,2,2,2,2,2,1.99979,1.95408,1.53213,1.12707,1.01342,1,1,1,1,1,1,1,1,1,1,1,1,1,1




1,1,1,1,1,1,1,1,1,1,1.00003,1.00036,1.00208,1.00753,1.01977,1.04085,1.07074,1.10772,1.14963,1.19493,1.24308,2,2,2,1.99984,1.97256,1.63704,1.20576,1.04154,1.00553,1.00037,1,1,1,1,1,1,1,1,1




1,1,1,1,1,1,1,1,1,1,1,1.00002,1.00014,1.00073,1.0027,1.00761,1.01737,1.03344,1.05626,1.08523,1.11918,1.15685,1.19732,1.24011,1.28524,1.33308,2,1.99995,1.98911,1.75088,1.29313,1.07284,1.01403,1.00207,1.00021,1.00001,1,1,1,1




1,1,1,1,1,1,1,1,1,1,1,1,1.00001,1.00006,1.00027,1.001,1.00296,1.00728,1.01528,1.02805,1.04611,1.06934,1.09709,1.12852,1.16283,1.19939,1.23787,1.27816,1.3204,1.36495,1.41254,1.9967,1.85315,1.39847,1.11236,1.02516,1.0048,1.00075,1.00009,1.00001




